attribute,conditioning,threshold,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
choice_factuality,high_q75,98.0,10.0,50,0.1,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,10.0,100,0.0,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,10.0,100,0.05,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,10.0,100,0.1,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,0.0,10,0.0,21,207,1275,78,0.0611764705882353,0.21490980516973351,0.0027552539124324807
choice_factuality,low_q25,68.0,0.0,10,0.05,21,207,1275,34,0.02666666666666667,0.16488699016127173,0.004849617357684463
choice_factuality,low_q25,68.0,0.0,10,0.1,21,207,1275,10,0.00784313725490196,0.11689339883123086,0.011689339883123085
choice_factuality,low_q25,68.0,0.0,25,0.0,21,112,303,29,0.09570957095709572,0.040244343184760015,0.0013877359718882764
choice_factuality,low_q25,68.0,0.0,25,0.05,21,112,303,13,0.0429042904290429,0.0296714090274871,0.0022824160790374695
choice_factuality,low_q25,68.0,0.0,25,0.1,21,112,303,2,0.006600660066006601,0.006185535724075279,0.0030927678620376394
choice_factuality,low_q25,68.0,0.0,50,0.0,21,1,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,0.0,50,0.05,21,1,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,0.0,50,0.1,21,1,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,0.0,100,0.0,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,0.0,100,0.05,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,0.0,100,0.1,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,2.0,10,0.0,21,206,1257,121,0.09626093874303898,0.39545514988753966,0.003268224379235865
choice_factuality,low_q25,68.0,2.0,10,0.05,21,206,1257,57,0.045346062052505964,0.3240818791917995,0.005685647003364902
choice_factuality,low_q25,68.0,2.0,10,0.1,21,206,1257,11,0.008750994431185362,0.15456082721597172,0.014050984292361067
choice_factuality,low_q25,68.0,2.0,25,0.0,21,104,242,37,0.15289256198347106,0.0691424446667037,0.0018687147207217217
choice_factuality,low_q25,68.0,2.0,25,0.05,21,104,242,13,0.05371900826446281,0.0414508435767765,0.0031885264289828077
choice_factuality,low_q25,68.0,2.0,25,0.1,21,104,242,1,0.004132231404958678,0.005387931034482759,0.005387931034482759
choice_factuality,low_q25,68.0,2.0,50,0.0,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,2.0,50,0.05,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,2.0,50,0.1,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,2.0,100,0.0,21,0,0,0,,0.0,0.0
choice_factuality,low_q25,68.0,2.0,100,0.05,21,0,0,0,,0.0,0.0
